Meadow Song says: "Puh-leeeez put your hooves together for your next performer, Maud Pie!"
Maud Pie says: "What do you call an Alicorn with no wings and no horn?"
Maud Pie says: "Earth pony."
Maud Pie says: "But seriously, being an Earth pony isn't so bad."
Maud Pie says: "We've got magic powers, too."
Maud Pie says: "Like walking around and picking stuff up with our teeth."
Maud Pie says: "That's sarcasm, by the way."
Pinkie Pie says: "It's funny, 'cause it's true!"
Maud Pie says: "My favorite thing to listen to is clastic rock – the accumulation of sediments over millennia forming to create sandstone, shale, and breccia."
Maud Pie says: "It sounds something like this."
Maud Pie says: "And that's my time."
Pinkie Pie says: "Isn't my sister Maud the most hilarious, entertaining, amazing comedian ever?"
Pinkie Pie says: "Your jokes, your hilarious delivery, your..."
Pinkie Pie says: "your everything!"
Maud Pie says: "How was my..."
Maud Pie says: "timing?"
Pinkie Pie says: "You got me!"
Pinkie Pie says: "C'mon, let's celebrate sister-style."
Pinkie Pie says: "We can get matching stickers that says "Eyes on the Pies", then show them off at the Ponyville Sticker Convention that I could plan for tomorrow if you want."
Maud Pie says: "Actually, I'm busy tonight."
Pinkie Pie says: "Aww, that's what you said yesterday."
Pinkie Pie says: "And the day before that."
Pinkie Pie says: "And the day before the day before that."
Pinkie Pie says: "It's just, we haven't hung out in a really long time because you always have other plans."
Pinkie Pie says: "Even when you promised to build whipped-cream pyramids with me."
Maud Pie says: "I know."
Maud Pie says: "I am sorry, Pinkie."
Maud Pie says: "The reason is I have a—"
Pinkie Pie says: "Apology accepted, as long as we get some serious sister time before your birthday."
Pinkie Pie says: "And there's, uh, definitely no reason I wanna hang out before your birthday."
Pinkie Pie says: "Just, you know, not planning anything special."
Maud Pie says: "Okay."
Pinkie Pie says: "What about tomorrow morning?"
Maud Pie says: "Okay."
Pinkie Pie says: "Yay!"
Pinkie Pie says: "Just you and me."
Pinkie Pie says: "Best sister friends forever!"
Maud Pie says: "Best sister friends forever."
Pinkie Pie says: "I can't wait for tomorrow to be today."
Pinkie Pie says: "Tomorrow is today!"
